name,latitude,longitude,region,population
Gentilly,48.8133,2.3444,Île-de-France,18577
Bruz,48.0247,-1.7458,Bretagne,18516
La Crau,43.1497,6.0742,Provence-Alpes-Côte d’Azur,18506
Royan,45.6231,-1.0431,Nouvelle-Aquitaine,18499
Hellemmes-Lille,50.6283,3.11,Hauts-de-France,18437
Louviers,49.2153,1.1656,Normandie,18348
Cran-Gévrier,45.9036,6.1039,Auvergne-Rhône-Alpes,18330
Bruges,44.8828,-0.6125,Nouvelle-Aquitaine,18316
Vitré,48.1233,-1.2094,Bretagne,18267
Cugnaux,43.5378,1.3436,Occitanie,18267
Fécamp,49.7575,0.3792,Normandie,18251
Soisy-sous-Montmorency,48.9878,2.2997,Île-de-France,18243
Brie-Comte-Robert,48.6925,2.6111,Île-de-France,18237
Fâches-Thumesnil,50.5989,3.0736,Hauts-de-France,18165
Éragny,49.0172,2.0914,Île-de-France,18162
Chennevières-sur-Marne,48.7983,2.5339,Île-de-France,18142
Bagnols-sur-Cèze,44.1625,4.62,Occitanie,18072
Bonneuil-sur-Marne,48.7742,2.4875,Île-de-France,18045
Lunéville,48.5894,6.5017,Grand Est,18027
Maurepas,48.7628,1.9456,Île-de-France,18019
Montceau-les-Mines,46.6669,4.3689,Bourgogne-Franche-Comté,17897
Moissy-Cramayel,48.6261,2.5922,Île-de-France,17882
Floirac,44.8364,-0.5258,Nouvelle-Aquitaine,17882
Ploemeur,47.7358,-3.4311,Bretagne,17790
Garches,48.8456,2.1869,Île-de-France,17762
Avion,50.4097,2.8328,Hauts-de-France,17583
Les Clayes-sous-Bois,48.8206,1.9836,Île-de-France,17560
Marmande,44.5,0.1653,Nouvelle-Aquitaine,17534
Le Pré-Saint-Gervais,48.885,2.4039,Île-de-France,17485
Meylan,45.2086,5.7794,Auvergne-Rhône-Alpes,17448
Châteauneuf-les-Martigues,43.3831,5.1642,Provence-Alpes-Côte d’Azur,17425
Osny,49.0592,2.0625,Île-de-France,17402
Carvin,50.4931,2.9581,Hauts-de-France,17399
Pontarlier,46.9061,6.3547,Bourgogne-Franche-Comté,17393
Brignoles,43.4058,6.0617,Provence-Alpes-Côte d’Azur,17364
Lons-le-Saunier,46.6744,5.5539,Bourgogne-Franche-Comté,17320
Cesson-Sévigné,48.1208,-1.6036,Bretagne,17312
Le Pontet,43.9642,4.86,Provence-Alpes-Côte d’Azur,17273
Chamalières,45.7736,3.0669,Auvergne-Rhône-Alpes,17210
Verdun,49.1597,5.3828,Grand Est,17161
Limay,48.9933,1.7358,Île-de-France,17147
Bischheim,48.6139,7.7519,Grand Est,17137
Juvisy-sur-Orge,48.6883,2.3775,Île-de-France,17007
Cluses,46.0603,6.5786,Auvergne-Rhône-Alpes,16996
Firminy,45.3881,4.2872,Auvergne-Rhône-Alpes,16981
Cestas,44.7444,-0.6822,Nouvelle-Aquitaine,16936
Bry-sur-Marne,48.8411,2.5222,Île-de-France,16919
Hendaye,43.3586,-1.7744,Nouvelle-Aquitaine,16805
Mauguio,43.6164,4.0075,Occitanie,16735
Lattes,43.5678,3.9021,Occitanie,16710
Sanary-sur-Mer,43.1192,5.8022,Provence-Alpes-Côte d’Azur,16696
Yutz,49.3589,6.1886,Grand Est,16633
Vauréal,49.03,2.0214,Île-de-France,16575
Saint-Maximin-la-Sainte-Baume,43.4533,5.8619,Provence-Alpes-Côte d’Azur,16574
Port-de-Bouc,43.405,4.9886,Provence-Alpes-Côte d’Azur,16569
Ambarès-et-Lagrave,44.9247,-0.4867,Nouvelle-Aquitaine,16563
Balma,43.6103,1.4986,Occitanie,16520
Sallanches,45.9364,6.6319,Auvergne-Rhône-Alpes,16508
Boissy-Saint-Léger,48.7503,2.5097,Île-de-France,16487
Saint-Jean-de-la-Ruelle,47.9131,1.8733,Centre-Val de Loire,16445
Viroflay,48.8,2.1722,Île-de-France,16406
Saran,47.9514,1.8803,Centre-Val de Loire,16344
Marly-le-Roi,48.8669,2.0942,Île-de-France,16335
Digne-les-Bains,44.0925,6.2356,Provence-Alpes-Côte d’Azur,16333
Annonay,45.24,4.6708,Auvergne-Rhône-Alpes,16288
Carrières-sous-Poissy,48.9478,2.0386,Île-de-France,16248
Jouy-le-Moutier,49.0108,2.0386,Île-de-France,16214
Elbeuf,49.2858,1.0083,Normandie,16205
Sedan,49.7019,4.9403,Grand Est,16193
L’Isle-d’Abeau,45.6194,5.2331,Auvergne-Rhône-Alpes,16169
Le Bourget,48.9344,2.4244,Île-de-France,16139
Les Herbiers,46.8711,-1.0136,Pays de la Loire,16135
Vendôme,47.7928,1.0656,Centre-Val de Loire,16133
Escoublac,47.2858,-2.3922,Pays de la Loire,16117
Guérande,47.3281,-2.4292,Pays de la Loire,16107
Saint-Amand-les-Eaux,50.4481,3.4269,Hauts-de-France,16053
Tourlaville,49.6408,-1.5789,Normandie,16040
Châteaurenard,43.8825,4.855,Provence-Alpes-Côte d’Azur,16012
Saint-Cyr-sur-Loire,47.4028,0.6781,Centre-Val de Loire,15991
Verneuil-sur-Seine,48.9797,1.9739,Île-de-France,15982
Le Pecq,48.8967,2.1061,Île-de-France,15949
Landerneau,48.4508,-4.2494,Bretagne,15914
Hayange,49.3297,6.0619,Grand Est,15888
Le Vésinet,48.8939,2.1322,Île-de-France,15865
Hennebont,47.8042,-3.2789,Bretagne,15858
Orsay,48.6981,2.1875,Île-de-France,15844
Saint-Leu-la-Forêt,49.0169,2.2464,Île-de-France,15829
Saint-Égrève,45.2317,5.6831,Auvergne-Rhône-Alpes,15801
Villeneuve-Loubet,43.6581,7.1214,Provence-Alpes-Côte d’Azur,15780
Saint-Pierre-des-Corps,47.3908,0.7281,Centre-Val de Loire,15766
Beaucaire,43.8072,4.6433,Occitanie,15718
Noisiel,48.8547,2.6289,Île-de-France,15676
Montbrison,45.6075,4.0653,Auvergne-Rhône-Alpes,15656
Pamiers,43.1164,1.6108,Occitanie,15603
Fos-sur-Mer,43.4544,4.9436,Provence-Alpes-Côte d’Azur,15602
Pornic,47.1156,-2.1033,Pays de la Loire,15570
Montivilliers,49.5461,0.1881,Normandie,15564
Sin-le-Noble,50.3631,3.1131,Hauts-de-France,15522
Blanquefort,44.9106,-0.6375,Nouvelle-Aquitaine,15510
Saint-Julien-en-Genevois,46.1442,6.0842,Auvergne-Rhône-Alpes,15509
Toul,48.675,5.8917,Grand Est,15470
Lucé,48.4383,1.465,Centre-Val de Loire,15435
Saint-Avold,49.1042,6.7081,Grand Est,15433
Domont,49.0275,2.3267,Île-de-France,15418
Fontainebleau,48.4089,2.7017,Île-de-France,15407
Rumilly,45.8667,5.9444,Auvergne-Rhône-Alpes,15373
Château-Thierry,49.0464,3.4031,Hauts-de-France,15351
Gaillac,43.9006,1.8983,Occitanie,15345
Sainte-Luce-sur-Loire,47.2494,-1.4867,Pays de la Loire,15238
Bois-d’Arcy,48.8014,2.0317,Île-de-France,15220
Issoire,45.5442,3.2489,Auvergne-Rhône-Alpes,15214
Tarascon,43.805,4.6594,Provence-Alpes-Côte d’Azur,15195
Rive-de-Gier,45.5294,4.6169,Auvergne-Rhône-Alpes,15105
Olonne-sur-Mer,46.5361,-1.7728,Pays de la Loire,15061
Saint-Rambert,45.4994,4.24,Auvergne-Rhône-Alpes,15034
Bailleul,50.7375,2.7339,Hauts-de-France,15019
Montesson,48.9086,2.1494,Île-de-France,15013
